中國走狗-彭蔭剛		溫惠雄

A.	 你知影彭蔭剛這個人無？
B. 「賣陰間」啥物人hiah gau5會通「賣陰間」-「地獄」？
A.  若有人會通「賣陰間」，無要緊，是「賣台奸」中國e5走狗，彭蔭剛。
B.	「賣台奸」是啥物款e5人？
A.	伊目前是台灣海基會e5董事。海基會是專門kap中國海協會談判e5部門。海基會e5副董事長兼秘書許惠佑是真傑出e5台灣人，每擺kap中國海協會談判攏徛ti7 台灣人e5立場，勇敢講話，hou7中國人上頭殼痛e5人。彭蔭剛作一個海基會董事長，不但無支持許惠佑，顛倒要求董事會取消許惠佑e5職務。
B.	按呢真正是「飼老鼠咬布袋」「食碗內洗碗外」，為啥物李登輝用伊chit款人？
A.	伊是香港特首董建華e5妺婿，『二二八事件』高雄殺人魔王彭孟緝e5後生。
B.	哦！「彭孟緝」，我知伊當時任高雄港要塞司令，『二二八事件』伊下令䊵死幾lou7千人，ti7高雄市議會、高雄中學、高雄火車站血屍成河，惡毒無人性。
A.	我真怨嘆「天無目，做惡做毒騎馬樂kok，好心好行無衫thang穿」，我無相信惡人有惡報」，彭孟緝䊵死hiah濟台灣人，官愈做愈大。警備總部司令、陸軍總司令、參謀總長，是五星大將，不但無夭壽koh長歲壽。91歲才死，死後這個彭蔭剛ti7報紙公告in老父真偉大，二二八䊵死暴民...實在惡毒！
B.	台灣人實在太善良。猶太人為著beh報復Hitler䊵死猶太人，到taN攏猶teh chhoe7當時䊵死猶太人e5 Nazi黨官員，「血債血還」清算歹人。總是，也m7免siuN7怨嘆，「時未到，m7是天be7報」。你看蔣介石二代做總統統治中國台灣超過半世紀，到taN一門三代六寡婦，蔣孝文、孝武、孝勇攏夭壽啦。
A.	彭孟緝做警備司令部長e5時，執行白色恐怖，䊵be7少親中國e5中國人、共匪，in囝彭蔭剛去親共替中國人做走狗，是真好笑e5，咱目睭金金看，看做中國人e5走狗有啥物末日。
