	MA2-THAI3 HOK-IM TOAN7
1	A-pek-lah8-han2 e5 hou7-e3, Tai7-pit8 e5 hou7-e3, Ia5-sou Ki-tok e5 ka-phou2.
	2 A-pek-lah8-han2 siN I2-sat;  I2-sat siN Nga2-kok; Nga2-kok siN Iu5-tai7 kap i e5 hiaN-ti7;   3 Iu5-tai7 tui3 Tai7-ma2--si7 siN Hoat-lek8-su7 kap Sat-lah8; Hoat-lek8-su7 siN I2-su7-lun5; I2-su7-lun5 siN A-lan5;  4 A-lan5 siN A-bi2-na2-tat8; A-bi2-na2-tat8 siN Na2-sun7; Na2-sun7 siN Sat-bun5;  5 Sat-bun5 tui3 Lat-hap8--si7 siN Pho-su7; Pho-su7 tui3 Lou7-tek--si7 siN O-pek; O-pek siN Ia5-se;  6 Ia5-se siN Tai7-pit8 ong5.
	Tai7-pit8 tui3 Ou-li7-a e5 bou2 siN Sou2-lo5-bun5;  7 Sou2-lo5-bun5 siN Lo5-pho-am3; Lo5-pho-am3 siN A-pi2-a; A-pi2-a siN A-sat  8 A-sat siN Iok-sa-hoat; Iok-sa-hoat siN Iok-lan5; Iok-lan5 siN Ou-se-a;  9 Ou-se-a  siN Iok-tan3; Iok-tan3 siN A-khap-su7; A-khap-su7 siN Hi-se-ka;  10 Hi-se-ka siN Ma2-na2-se; Ma2-na2-se siN A-bun5; A-bun5 siN Iok-se-a;  11 peh-siN3 siu7 chhian-soa2 kau3 Pa-pi2-lun5 e5 si5, Iok-se-a siN Ia5-ko-ni5-a kap i e5 hiaN-ti7.
	12 Chhian-soa2 kau3 Pa-pi2-lun5 liau2-au7, Ia5-ko-ni5-a siN Sat-liap8-thiat; Sat-liap8-thiat siN Sou2-lo5-pa2-pek;  13 Sou2-lo5-pa2-pek siN A-pi2-ut; A-pi2-ut siN I2-li7-a-kim; I2-li7-a-kim siN A-sou2; 14 A-sou2 siN Sat-tok8; Sat-tok8 siN A-kim; A-kim siN I2-lut8;  15 I2-lut8 siN I2-li7-a-sat; I2-li7-a-sat siN Ma2-tan3; Ma2-tan3 siN Nga2-kok;  16 Nga2-kok siN Iok-sek, chiu7-si7 Ma2-li7-a e5 tiong7-hu; chheng choe3 Ki-tok e5 Ia5-sou, si7 tui3 chit e5 Ma2-li7-a siN e5.
	17 , tui3 A-pek-lah8-han2 kau3 Tai7-pit8, kiong7 chap8-si3 tai7; tui3 Tai7-pit8 kau3 chhian-soa2 khi3 Pa-pi2-lun5 e5 si5, iah8 chap8-si3 tai7; tui3 chhian-soa2 khi3 Pa-pi2-lun5 e5 si5 kau3 Ki-tok, koh chap8-si3 tai7.
	18 Ia5-sou Ki-tok e5 chhut-si3, ki3 ti7 e7-toe2:  I e5 lau7-bu2 Ma2-li7-a i2-keng choe3 Iok-sek tiaN7-tioh8, iau2-be7 chhoa7 ke3-mng5, chiu7 tui3 Seng3 Sin5 u7 sin-in7.  19 I e5 tiong7-hu Iok-sek si7 gi7 e5 lang5, m7 ai3 hian2-jian5 pan7 i, an3-sng3 beh am3-chiN7 hoe3-chhin.  20 Teh siuN7 e5 si5, u7 Chu2 e5 thiN-sai3 ti7 i e5 bin5-bang7-tiong chhut-hian7 kong2, Tai7-pit8 e5 hou7-e3, Iok-sek ah, boh8-tit kiaN, tioh8 chhoa7 li2 e5 bou2 Ma2-li7-a ke3-mng5; in-ui7 i sou2 hoai5-in7 e5 si7 tui3 Seng3 Sin5.  21 I beh siN kiaN2, li2 tioh8 kio3 I e5 mia5 choe3 Ia5-sou; in-ui7 I beh kiu3 I e5 peh-siN3 thoat-chhut in e5 choe7-ok.  22 Chit e5 su7 long2 chiaN5, si7 beh eng3-giam7 Chu2 thok sian-ti sou2 kong2 e5, kong2,
	23 Li2 khoaN3, chai7-sek-lu2 beh sin-in7 siN kiaN2;
	Lang5 beh kio3 I e5 mia5 choe3 I2-ma2-loe7-li7;
hoan-ek8 chiu7-si7 Siong7-te3 kap lan2 ti7-teh.  24 Iok-sek khun3-chhiN2 khi2-lai5, chiau3 Chu2 e5 thiN-sai3 sou2 beng7-leng7 khi3 kiaN5, chhoa7 i e5 bou2 ke3-mng5;  25 bo5 kap i tang5 pang5 kau3 i siN kiaN2; chiu7 kio3 I e5 mia5 choe3 Ia5-sou.

2	Tng Hi-lut8 ong5 e5 si5, Ia5-sou i2-keng chhut-si3 ti7 Iu5-thai3 e5 Pek-li7-heng5, u7 kui2-na7 e5 phok-su7 tui3 tang-hng lai5 kau3 Ia5-lou7-sat-leng2,  2 kong2, Chhut-si3 choe3 Iu5-thai3 lang5 e5 ong5 e5 ti7 ta2-loh8? in-ui7 goan2 ti7 tang-hng u7 khoaN3-kiN3 I e5 chhiN, chiah lai5 beh pai3 I.  3 Hi-lut8 ong5 thiaN-kiN3 chiu7 peh-pak, thong Ia5-lou7-sat-leng2 iah8 si7 an2-ni.  4 Chiu7 chu7-chip8 cheng3 che3-si-thau5, kap peh-siN3-kan e5 keng-hak8-su7, mng7 in Ki-tok tioh8 ti7 sim2-mih8 sou2-chai7 chhut-si3.  5 In ka7 i kong2, Ti7 Iu5-thai3 e5 Pek-li7-heng5; in-ui7 sian-ti u7 ki3-chai3 kong2,
	6 Iu5-thai3 toe7, Pek-li7-heng5 ah, 
	Ti7 Iu5-thai3 chiah e5 thau5-lang5 tiong, li2 long2 m7 si7 te7 it soe3 e5;
	In-ui7 beh u7 chit8 e5 jin5-kun tui3 li2 chhut, lai5 chiau3-kou3 goa2 e5 peh-siN3 I2-sek-liat8.
